Datetime,Text,Username,location,hashtags,label
2021-03-11 23:17:00+00:00,"bismillah, hari ini aku Vaksinasi ke 2 😊👍🏻
moga ga jadi titans season 2 😭 https://t.co/IqWjNHQr7q",hizyapaka,Kingdom of Corea,,positif
2021-03-11 23:15:16+00:00,"Sobat Polri, vaksinasi Covid-19 sudah mulai dilaksanakan 

@ronny_tri2000
@divisihumaspolri
@poldajateng_

#polrespemalang #polriindonesia #polriuntukindonesia #kabarpemalang #inipemalang #eventpemalang #kontenapik #vaksinasi #suntikvaksin #imunitas https://t.co/Kt2dzo5Wv7",polres_pemalang,"Pemalang, Indonesia","['polrespemalang', 'polriindonesia', 'polriuntukindonesia', 'kabarpemalang', 'inipemalang', 'eventpemalang', 'kontenapik', 'vaksinasi', 'suntikvaksin', 'imunitas']",positif
2021-03-11 23:13:44+00:00,"@DKIJakarta @aniesbaswedan @ArizaPatria @JSCLab @dinkesJKT @labkesda_dki Mohon agar Departemen / BUMN jangan mencari PUBLIKASI saja. Sebaik pencanangan KOLABORASI untuk VAKSINASI dijalankan sesuai dg program,  tujuan dan terukur. . Bottom Up mulai dr RT, RW, Kel &amp; Kec. Wass. LMK Cilandak
@KemenkesRI @KemenBUMN @jokowi @DPR_RI @lmkcilandakbarat",EddieMartoyo,"Cilandak Barat, Jakarta Selatan",,positif
2021-03-11 23:08:26+00:00,"Insyaallah hari ini mau ikut vaksinasi. Tapi bayangin disuntik kok ngeri ya, pdhl aku ini org kesehatan. Ya gimana, maunya nyuntik, nusuk, tp gamau disuntik, ditusuk. Agak egois memang orgnya. Hahaha.",miskiy28,jakarta - pekalongan,,negatif
2021-03-11 23:01:16+00:00,"@DKIJakarta @aniesbaswedan @ArizaPatria @JSCLab @dinkesJKT @labkesda_dki Dan juga ke Gelora Bung Karno yg menyebabkan terjadi kerumunan shg Prokes tidak berjalan. Pemutus rantai penularan sebaiknya dr tingkat RT, RW, Kelurahan. Komunitas yg ada di wil. tsb yg perlu di vaksinasi terlebih dulu baik melalui Puskes Kec. / Kel. Agar imunitas wil. Terbentuk",EddieMartoyo,"Cilandak Barat, Jakarta Selatan",,positif
2021-03-11 22:58:38+00:00,"Vaksinasi bukan hal baru bagi Indonesia, kita sudah menjalankannya sejak 50 tahun lalu, mulai dari vaksinasi cacar, polio, BCG, dan sebagainya 

#PemulihanRIDenganVaksin https://t.co/PFMDaZBude",syaffaa_3,,['PemulihanRIDenganVaksin'],positif
2021-03-11 22:57:56+00:00,"Covid .. certificate of vaccine ID bukan hoax .. great reset cabal

Jangan Sembarangan Unggah Sertifikat Vaksinasi Covid-19 di Media Sosial, Ini Alasannya

https://t.co/c5tmf7747J",Pr1nC3j03,,,negatif
2021-03-11 22:57:29+00:00,"Vaksinasi bukan hal baru bagi Indonesia, kita sudah menjalankannya sejak 50 tahun lalu, mulai dari vaksinasi cacar, polio, BCG, dan sebagainya #PemulihanRIDenganVaksin https://t.co/Z5ufU3ybA3",Manusiakentankz,,['PemulihanRIDenganVaksin'],positif
2021-03-11 22:56:51+00:00,Pelaksanaan vaksinasi juga dilakukan dengan tetap menerapkan protokol kesehatan secara ketat. #PemulihanRIDenganVaksin https://t.co/GbyT73Sw77,Psulis01,,['PemulihanRIDenganVaksin'],positif
2021-03-11 22:55:51+00:00,"target vaksinasi terpenuhi, ekonomi indonesia diprediksi bangkit januari 2022✊🏻✨
#PemulihanRIDenganVaksin https://t.co/EyTAs5o9X1",pipuwxx,,['PemulihanRIDenganVaksin'],netral
2021-03-11 22:55:28+00:00,@DKIJakarta @aniesbaswedan @ArizaPatria @JSCLab @dinkesJKT @labkesda_dki Masyarakat sudah mulai tidak disiplin . Program Vaksinasi di tingkat wilayah / Kecamatan di Puskesmas Kecamatan sudah baik dan tertib PROKES mohon di giatkan &amp; ditingkatkan...dan kalau bisa merambahnya ke Puskesmas Kelurahan. Jangan malah merambahnya ke Badan PPSDM Kesehatan.,EddieMartoyo,"Cilandak Barat, Jakarta Selatan",,positif
2021-03-11 22:55:03+00:00,"Jadi  Dikarenakan ketersediaan jumlah vaksin  bertahap, maka dilakukan pentahapan sasaran vaksinasi #PemulihanRIDenganVaksin
✊✊ https://t.co/zO8YD4nAFr",AdiantoRinto,,['PemulihanRIDenganVaksin'],positif
2021-03-11 22:55:00+00:00,"Vaksinasi bukan hal baru bagi Indonesia, kita sudah menjalankannya sejak 50 tahun lalu, mulai dari vaksinasi cacar, polio, BCG, dan sebagainya. 🇮🇩🇮🇩🇮🇩🇮🇩 #PemulihanRIDenganVaksin https://t.co/IEGxd4jZZy",Lalalight01,,['PemulihanRIDenganVaksin'],positif
2021-03-11 22:55:00+00:00,"3,6 Juta orang di Indonesia telah menjalani vaksinasi Covid-19 #PemulihanRIDenganVaksin https://t.co/hf5dOkzycA",yasaeqia,,['PemulihanRIDenganVaksin'],positif
2021-03-11 22:55:00+00:00,Kalau kita bisa selesaikan vaksinasi pada tahun ini dan vaksin mempunyai efektifitas setahun makan Januari ekonomi bisa kembali normal #PemulihanRIDenganVaksin https://t.co/2VYLMRxina,finafinie,,['PemulihanRIDenganVaksin'],positif
2021-03-11 22:55:00+00:00,Prof. Hasbullah percaya masyarakat Indonesia perlu diberi pendekatan komunikasi yang lebih baik agar memahami bahwa kepentingan program vaksinasi ini adalah kepentingan bersama dan berdampak luas bagi ekonomi nasional #PemulihanRIDenganVaksin https://t.co/pxCTuEz1DH,sxendiri,,['PemulihanRIDenganVaksin'],positif
2021-03-11 22:52:12+00:00,"[INFOGRAFIK]

Golongan Hasut Tolak Vaksinasi Berdepan Tindakan Mahkamah!

#PKPB
#KitaTeguhKitaMenang
#KomunikasiKita
#PsaCOVID19RTM

Sumber : @beritartm https://t.co/ehA4GOXsDq https://t.co/0qECF9ieUE",asyikfmrtm,,"['PKPB', 'KitaTeguhKitaMenang', 'KomunikasiKita', 'PsaCOVID19RTM']",negatif
2021-03-11 22:52:02+00:00,Tentu BPOM tidak mau dikatakan sengaja menghambat Vaksin Nusantara. Program vaksinasi sendiri terus berjalan. Bahkan sudah masuk pula yang vaksin mandiri. #DahlanIskan https://t.co/AW1UJPc9hN,jpnncom,Indonesia,['DahlanIskan'],negatif
2021-03-11 22:40:56+00:00,"Persiapan 102 Fasilitas Kesehatan Milik TNI AD Menjadi Titik Pelaksanaan Vaksinasi Covid-19⁣⁣⁣⁣⁣⁣⁣
⁣⁣⁣⁣⁣⁣⁣.
.

⁣⁣⁣⁣⁣⁣#TNIADMengabdiDanMembangunBersamaRakyat
#reposttniad https://t.co/qGz9BQvLFa",puspom_tni_ad,"DKI Jakarta, Indonesia","['TNIADMengabdiDanMembangunBersamaRakyat', 'reposttniad']",negatif
2021-03-11 22:38:18+00:00,@FirzaHusain Siap kita sukses kan vaksinasi ..urusan Demokrat Bomat,Lembayung071,"DKI Jakarta, Indonesia",,positif
2021-03-11 22:36:33+00:00,"Minim Distribusi, Vaksinasi ASN Kulonprogo Tahap Kedua Belum Terlaksana https://t.co/1Y4LqEDTIN #beritajogja #jogja #jogjaistimewa https://t.co/vkSS7PcUw0",Harian_Jogja,"Yogyakarta, Indonesia","['beritajogja', 'jogja', 'jogjaistimewa']",netral
2021-03-11 22:33:32+00:00,"Vaksinasi Covid-19 di Gorontalo, Sudah 35,9 Persen https://t.co/m6TQkrYlTx",ProsesnewsID,"Gorontalo, Indonesia",,positif
2021-03-11 22:32:54+00:00,"Persiapan 102 Fasilitas Kesehatan Milik TNI AD Menjadi Titik Pelaksanaan Vaksinasi Covid-19⁣⁣⁣⁣⁣⁣⁣
⁣⁣⁣⁣⁣⁣⁣.
.
https://t.co/8NF6HHrf11
⁣⁣⁣⁣⁣⁣⁣
⁣⁣⁣⁣⁣⁣#TNIADMengabdiDanMembangunBersamaRakyat
#reposttniad https://t.co/dOZWFxZ8ij",puspom_tni_ad,"DKI Jakarta, Indonesia","['TNIADMengabdiDanMembangunBersamaRakyat', 'reposttniad']",negatif
2021-03-11 22:23:13+00:00,"@KompasTV @msaid_didu Dikeluarkan nya beberapa type covid dibelahan dunia,apakah suatu proyek vaksinasi bagi setiap negara ?? Untung donk penguasa nya ??
Serius nanya🤓🔭",MiqdadSanre,,,negatif
2021-03-11 22:22:31+00:00,"Sobat Polri, vaksinasi Covid-19 sudah mulai dilaksanakan dengan sasaran prioritas saat ini adalah untuk tenaga kesehatan. Setelah dilakukan vaksinasi nantinya masyarakat akan diminta untuk menunggu selama 30 menit di lokasi penyuntikan vaksin. Apa sih alasannya? Ayo kita simak! https://t.co/6Asl6u84j6",SumberPolsek,"Sumber Rembang, Indonesia",,netral
2021-03-11 22:20:26+00:00,Ketika 4 Mantan Presiden AS Kompak Promosikan Vaksinasi Covid-19 #LengkapCepatBeritanya #BeritaTerkini #International #BeritaInternasional . https://t.co/NDpt4DoxFx,okezonenews,Jakarta,"['LengkapCepatBeritanya', 'BeritaTerkini', 'International', 'BeritaInternasional']",netral
2021-03-11 22:17:14+00:00,"@FirzaHusain Setuju mpok,kita sukseskan aja vaksinasi massal..yg lg curhat ya biara aja curhat dewe..",RPranarko,,,positif
2021-03-11 21:42:12+00:00,Personil Polsek Banggai Mendapatkan Suntikan Vaksinasi Covid-19 https://t.co/YERnhpxSrf,SyafarudinDel12,,,positif
2021-03-11 21:34:33+00:00,Menhub Tinjau Pelaksanaan Vaksinasi Tahap Pertama https://t.co/8KRkOehGOb,KabarSiang,Jakarta Capital Region,,netral
2021-03-11 20:14:24+00:00,"Italy menyusul Austria, Denmark &amp; Norway yg lebih dulu menghentikan vaksinasi AstraZeneca.",pascawinanda,,,negatif
2021-03-11 20:00:02+00:00,"Kemenkes mengklaim, vaksinasi secara drive-in alias layanan tanpa turun (lantatur) di Bali adalah yang pertama di ASEAN. Vaksinasi ini diberikan bagi 5000 pelaku pariwisata agar mempercepat pemulihan destinasi wisata Bali.

#Video #MediaLawanCovid19 https://t.co/W02WtgCQUz",LokadataID,Jakarta Capital Region,"['Video', 'MediaLawanCovid19']",negatif
2021-03-11 20:00:01+00:00,Bali bekerja sama dengan pelaku pariwisata percepat vaksinasi COVID-19. https://t.co/n5kRENhVzi,RadioElshinta,,,positif
2021-03-11 19:51:37+00:00,Harapan baru Jokowi lawan pandemi. Mendikbud Nadiem Makarim sampaikan sekolah akan dibuka usai vaksinasi. https://t.co/tWHxIstoX0,ariandiputra8,,,negatif
2021-03-11 19:47:02+00:00,Begini aturan teknis vaksinasi Covid-19 untuk orang dengan komorbid Kontan - Kontan https://t.co/YvysE4D3CA,ObatAsma,,,positif
2021-03-11 19:45:35+00:00,Upaya percepatan vaksinasi tetap harus dibarengi oleh langkah hati2. Keselamatan manusia adalah kepentingan tertinggi kita bersama @KemenkesRI @satgascovid19id @BPOM_RI @Kemlu_RI,salmanaf2013,"Port Louis, Mauritius",,positif
2021-03-11 19:33:13+00:00,"Vaksinasi bagi Ulama dan Tokoh Lintas Agama 
Bertujuan agar aktivitas keagamaan berjalan baik 
@jokowi Lawan Pandemi https://t.co/aPtf6RwSIZ",bringas3006,Indonesia,,negatif
2021-03-11 19:32:32+00:00,"Dengan total populasi sebanyak 83 juta penduduk, sejauh ini telah melakukan vaksinasi terhadap 10,56 juta penduduknya. #KumparanNEWS https://t.co/WnjVwErXX1",kumparan,,['KumparanNEWS'],netral
2021-03-11 19:25:10+00:00,"Mantan Atlet Indonesia pun Ikut Vaksinasi Covid-19 di Istora Senayan - https://t.co/zf65iNdlz0

#INDONESIA",IDCorner,"Central Java, Indonesia",['INDONESIA'],negatif
2021-03-11 18:58:10+00:00,"Presiden @jokowi tinjau Vaksinasi Massal bagi Ulama dan Tokoh Lintas Agama di Semarang - Jawa Tengah

Siapa sajakah mereka ?  Simak saja,  Kuy 

Jokowi Lawan Pandemi
@kesittt @Dnok_Ayu @NinjaCir3ng @MasTBP_ https://t.co/oMbDLEcOLb",bringas3006,Indonesia,,negatif
2021-03-11 18:55:00+00:00,Jumlah Penerima Vaksinasi Covid-19 Harian pada 11 Maret 2021 https://t.co/emElXwdEB0 https://t.co/5wLfiACwZu,InvestorID,"Jakarta, Indonesia",,positif
2021-03-11 18:54:37+00:00,"@Michell5A Cara cepat mengakhirinya simpel, ikut acara 20 Maret gagalkan vaksinasi

https://t.co/SYbyhcscgf",nic04722,,,negatif
2021-03-11 18:46:01+00:00,"Kemenkes mnjalin kerja sama dg Facebook dan Whatsapp utk pesan terstruktur soal vaksinasi kemenkes terhadap calon penerima vaksin dan tetap menjaga serta melindungi data2 pribadi calon.

Ini berdasarkan keputusan bersama Kemenkes dan Kemenkominfo.

- Jokowi Lawan Pandemi - https://t.co/vRZCE5eKyu",PakarINTELek,Indonesia,,positif
2021-03-11 18:45:18+00:00,"dengan Kemenkes dan Pemda DKI Jakarta dalam memberikan prioritas vaksin kepada kalangan difabel.

Terima kasih kepada pemerintah atas perhatiannya, sehingga kalangan difabel mendapat kesempatan vaksinasi dalam waktu yang cepat.

#VaksinUntukKita https://t.co/MB6mqbHayI",shafigh,Indonesia,['VaksinUntukKita'],negatif
2021-03-11 18:45:17+00:00,"Kamis (11/3/2021) tercatat sudah 10.597 warga menjalani vaksinasi. 250 orang diantaranya adalah kalangan difabel.

Ketua Umum Persatuan Penyandang Disabilitas Indonesia (PPDI) Gufron Sakaril menghargai usaha yang dilakukan Kementrian BUMN yang bekerjasama https://t.co/RK9s23Nw2a",shafigh,Indonesia,,positif
2021-03-11 18:45:15+00:00,"Kalangan difabel mendapat prioritas vaksinasi loh, guys!

Sejak Sentra Vaksinasi Bersama di Gelar di Istora Senayan, Jakarta, dari Senin (8/3/2021) hingga hari ke empat, https://t.co/bEfuF4nMGz",shafigh,Indonesia,,positif
2021-03-11 18:40:00+00:00,"Dalam kunjungannya, Presiden Joko Widodo mengapresiasi pelaksanaan vaksinasi massal bagi para seniman dan budayawan. Dgn situasi sulit sekarang ini, diharapkan vaksinasi bs memberikan dorongan semangat agar mereka tetap bs kembali berkarya. via @KemenkesRI https://t.co/kR1R2N0FX2",RadioElshinta,,,positif
2021-03-11 18:30:47+00:00,"Siap vaksinasi
#satgascovid19 https://t.co/5b62YHaYUg",RizalPr01614995,"Kuta Alam, Indonesia",['satgascovid19'],positif
2021-03-11 18:28:32+00:00,Menkes: Vaksin Covid-19 Pesan ke 4 Negara untuk Jangkau Kebutuhan Vaksinasi Masyarakat https://t.co/wUMd7uztqi https://t.co/YYZUCJBqoH,FaktaNew5,,,negatif
2021-03-11 18:19:47+00:00,"@nadiemmakarim :  Sekolah dibuka usai Vaksinasi Covid19 Tenaga Pengajar.
Kampus masih bisa PJJ 

@jokowi Lawan Pandemi
@crown_abie @kesittt
https://t.co/oISqbJmrsy https://t.co/JJ1UEsuIn2",bringas3006,Indonesia,,negatif
2021-03-11 18:16:03+00:00,3.696.059 Orang Telah Menjalani Vaksinasi Dosis Pertama https://t.co/8Hm8IT7WXu https://t.co/IYmoaIpuQ6,sembilanfm_sbg,Indonesia,,netral
2021-03-11 18:15:32+00:00,Gubernur Banten: Pembelajaran Tatap Muka Dilaksanakan Jika Vaksinasi Sudah Selesai https://t.co/bo9POnTOhT https://t.co/nwwX4icMMu,pantaunews1,Indonesia,,negatif
2021-03-11 18:14:58+00:00,Vaksinasi lengkap dapat menikmati beberapa kebebasan tapi tetap ikuti prokes,MutiaraIndah,Indonesia,,negatif
2021-03-11 18:11:38+00:00,Vaksinasi untuk kekebalan kelompok,MutiaraIndah,Indonesia,,negatif
2021-03-11 18:01:45+00:00,"Vaksinasi ulama dan tokoh lintas  agama agar aktivitas berjalan baik , @jokkwi lawan pandemi. https://t.co/ta09dN8KCo",Syahrudin_Alam,,,negatif
2021-03-11 18:00:11+00:00,"Vaksinasi Guru: Dari 25.422 Orang, Baru 20 Persen yang Ikut Vaksin https://t.co/G7ePegPVDt",jawapos,Jakarta,,positif
2021-03-11 17:59:58+00:00,"Vaksinasi ulama dan tokoh lintas  agama agar aktivitas berjalan baik , @jokkwi lawan pandemi. https://t.co/LQcFYUB7MT",Fentika_95,,,negatif
2021-03-11 17:59:26+00:00,"Vaksinasi ulama dan tokoh lintas  agama agar aktivitas berjalan baik , @jokkwi lawan pandemi. https://t.co/vNgi9gUZe6",MeilaSandi,,,negatif
2021-03-11 17:53:14+00:00,Pelaku Pariwisata Masuk Sasaran Vaksinasi Kelompok Kedua https://t.co/MHGh0HoYAz,jawapos,Jakarta,,negatif
2021-03-11 17:51:44+00:00,di koreya ada vaksinasi copid gak sich??? 😁,n1nun1nu,,,netral
2021-03-11 17:47:56+00:00,"Jokowi Lawan Pandemi 
Kemenkes - Facebook kerja sama pengiriman Informasi Vaksinasi https://t.co/ErSngCfrKZ",LenteraBangsaa_,,,negatif
2021-03-11 17:43:34+00:00,Kemenkes dan fasebook kerja sama pengiriman informasi vaksinasi. Tentu saja informasi vaksinasi setidaknya akan sampai diseluruh pengguna sosial media hari ini https://t.co/bIdzdiz0Yo,Enovaeli,"Blitar, Jawa Timur",,positif
2021-03-11 17:36:32+00:00,"Hari ini rekor terbanyak vaksinasi dilakukan oleh Sentra Vaksinasi BUMN di Istora dengan total 6.620 orang utk Lansia dan Pelayan Publik BUMN, walau ada yg gagal di vaksin karena tensi tinggi dan lainnya. 

#SemuanyaUntukMerahPutih
#VaksinUntukKita
#BUMNUntukIndonesia https://t.co/mnB2GONgal",Enovaeli,"Blitar, Jawa Timur","['SemuanyaUntukMerahPutih', 'VaksinUntukKita', 'BUMNUntukIndonesia']",negatif
2021-03-11 17:34:02+00:00,Sekjen PBNU Sebut Peserta Vaksinasi Covid-19 adalah Pahlawan https://t.co/o1QmsS5TcN,nu_online,Indonesia,,netral
2021-03-11 17:31:45+00:00,"Vaksinasi tokoh lintas agama 😇
Semoga tetap terus sehat untuk menyampaikan kebaikan antar sesama umat manusia ✨✨ https://t.co/aERsVj8mau",Enovaeli,"Blitar, Jawa Timur",,positif
2021-03-11 17:25:10+00:00,"Terima Vaksin Covid-19, Ratusan Jurnalis di Sumbar Suarakan Pentingnya Vaksinasi https://t.co/G00CqCSMa6 https://t.co/Ci4KUVKH0W",AhmadNorMaulana,"Jakarta Utara, DKI Jakarta",,positif
2021-03-11 17:22:17+00:00,"Merawat semangat bareng pekerja seni 😇
Siap menghibur setelah di vaksinasi💪💪 https://t.co/tYJIEyArX5",indkurwt,"Tuban, Indonesia",,positif
2021-03-11 17:17:07+00:00,"@killthedj yang turut serta mengikuti vaksinasi mengatakan, sejak dulu ia dan kawan2nya menyuarakan agar masyarakat bisa mendapatkan vaksin gratis. Karena itu ketika vaksin sudah diberikan gratis, maka tidak ada alasan untuk menolaknya. @jokowi @triwul82
https://t.co/ROIAe71uHU",tolakbigotnkri,,,negatif
2021-03-11 17:15:48+00:00,"Pangdam V/Brawijaya Mayjen TNI Suharyanto, S.Sos., M.M., Meninjau lokasi serbuan Vaksinasi di Lanud Abd. Saleh, yang rencana besok akan di hadiri oleh Panglima TNI Marrsekal TNI Hadi Tjahyanto, Malang 11 maret 2021. https://t.co/QCG4hrJ4FG",Pendam5,"Kota Surabaya, Jawa Timur",,negatif
2021-03-11 17:14:37+00:00,Vaksinasi bersama tokoh lintas agama 😊 https://t.co/3I4PFOKmeH,indkurwt,"Tuban, Indonesia",,netral
2021-03-11 17:14:03+00:00,Vaksinasi para pekerja seni berjalan lancar😊 https://t.co/SBP0JCTpA3,indkurwt,"Tuban, Indonesia",,positif
2021-03-11 17:12:01+00:00,"Taspen sebagai BUMN asuransi sosial terbesar di Indonesia yang setiap harinya mengurus pensiunan aparatur sipil negara sangat mendukung acara vaksinasi lansia ini. @jokowi @KemenkesRI @Rahman_Nashir @yulitasaarii___ @NgkongRoses @willona___ @ariandiputra30
https://t.co/t1ipNHgwXX",tolakbigotnkri,,,positif
2021-03-11 17:08:36+00:00,"Jokowi Lawan Pandemi

Nadiem : Sekolah Dibuka Usai Vaksinasi, Kampus Masih Bisa PJJ https://t.co/zLwEh8yCY0",LenteraBangsaa_,,,negatif
2021-03-11 17:06:36+00:00,Mantan Atlet Indonesia pun Ikut Vaksinasi Covid-19 di Istora Senayan https://t.co/wWVBhXH3aH https://t.co/qDy6jPMpQy,AhmadNorMaulana,"Jakarta Utara, DKI Jakarta",,negatif
2021-03-11 17:03:27+00:00,Vaksinasi Kepada Seniman dan Budayawan. Langkah untuk merawat semangat untuk terus berkarya. https://t.co/I626AWfRNP,PradanaDika29,"Kota Surabaya, Jawa Timur",,positif
2021-03-11 17:03:19+00:00,Vaksinasi diberikan Kepada Ulama dan Tokoh Agama agar aktivitas keagamaan berjalan lancar. https://t.co/lqccfJOGps,redidit11,"Kota Surabaya, Jawa Timur",,negatif
2021-03-11 16:57:34+00:00,"vaksinasi Bupati Tana Tidung
https://t.co/HyHes9xGIM",Diskominfo_KTT,"Sesayap, Kabupaten Tana Tidung",,netral
2021-03-11 16:57:11+00:00,@kompascom Oh surat sertifikat keterangan vaksinasi covid-19 tertulis di kertas atau elektronik,margo_siswadi,,,negatif
2021-03-11 16:54:02+00:00,"Provinsi Jawa Tengah pada Rabu, 10 Maret 2021, menggelar vaksinasi massal bagi para ulama, tokoh lintas agama, hingga sejumlah santri pondok pesantren setempat. https://t.co/wDnNOWPhq8",cutty_____,"Kadang diatas, kadang dibawah",,positif
2021-03-11 16:53:31+00:00,Sejumlah Kepala SKPD Dan 12 Camat Di Tabalong Jalani Vaksinasi Covid-19 https://t.co/WmCqs0PIZL,liputan4com,Makassar,,netral
2021-03-11 16:49:28+00:00,Presiden @jokowi kemarin pada hari rabu 10 maret 2021 meninjau kegiatan Vaksinasi bagi Ulama dan Tokoh Lintas Agama yg dilakukan oleh Pemerintahan Daerah Provinsi Jawa Tengah. https://t.co/DeZ4EYHRMV,redidit11,"Kota Surabaya, Jawa Timur",,positif
2021-03-11 16:49:17+00:00,@Sleepman24 masih ada link nya ga mas?soalnya saya sedang meneliti gambaran perilaku dalam penerimaan vaksinasi juga,lipstickburglar,@BTS_twt,,positif
2021-03-11 16:45:22+00:00,"@voaindonesia Keempatnya adalah mantan Presiden US yang menyatakan perang kecuali Donald Trump.

Mempromosikan Vaksinasi?!

*Aromanya gag enak",_Banyoe,"Manchester, England",,netral
2021-03-11 16:44:54+00:00,"@Wedhus999 @cybsquad_ Bio Farma: Pfizer Biontech Minta Klausul Bebas Hukum jika Ada Masalah Vaksinasi

Klik untuk baca: https://t.co/GsmiRz2aSp",Tsabit_Q,Jakarta,,negatif
2021-03-11 16:40:31+00:00,"Soal Vaksinasi Covid-19, Indonesia Terdepan di Asia Tenggara #Covid-19 # viruscorona # https://t.co/qN4OuursXb",KabarSiang,Jakarta Capital Region,['Covid'],negatif
2021-03-11 16:36:46+00:00,"Kemenkes menjalin kerjasama  dengan Facebook dan WhatsApp,kerja sama melingkupi  pesan terstruktur soal vaksinasi  dari Kemenkes kepada calon penerima vaksin.
@jokowi Lawan Pandemi https://t.co/kqlJO0s83H",RiLovebird,,,negatif
2021-03-11 16:35:56+00:00,25 Orang Anggota Koramil 03 Pulau Punjung Jalani Vaksinasi Covid-19 - https://t.co/9LmpG6znZI https://t.co/EywbxKC0yT,KoranSinggalang,Padang,,negatif
2021-03-11 16:35:40+00:00,Mendikbud Nadiem Makarim memastikan bahwa akan membuka sekolah tingkat PAUD hingga SMA/SMK setelah vaksinasi covid19 pada tenaga pengajar selesai. https://t.co/OUmnoKPUjh,redidit11,"Kota Surabaya, Jawa Timur",,positif
2021-03-11 16:33:41+00:00,Kemari pada hari rabu 10 maret 2021 Presiden @jokowi meninjau Kegiatan Vaksinasi bagi Seniman dan Budayawan di Yogyakarta. https://t.co/rWOhkw5jl7,PradanaDika29,"Kota Surabaya, Jawa Timur",,positif
2021-03-11 16:26:56+00:00,"Sobat #Healthies, Berikut update vaksinasi COVID-19 di Indonesia, pada tanggal 11 Maret 2021. Berdasarkan data sumber Kementerian Kesehatan RI.

Walaupun telah divaksinasi tetap patuhi protokol kesehatan 3M ya. https://t.co/J1N5SmelD0",ditjenpppl,Jl. H.R. Rasuna Said Blok X-5 ,['Healthies'],positif
2021-03-11 16:23:05+00:00,Vaksinasi COVID-19 Ditegaskan Kunci Utama Pemulihan Ekonomi https://t.co/ZM6aZDdbBr,VIVAcoid,,,positif
